SMILES,Name,Cluster
Cc1ccc(Cl)cc1N1/C(=N\C(=O)CCC(=O)O)S[C@@H]2CS(=O)(=O)C[C@H]21,101303278,1
N#CCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(OC(F)(F)F)cc1,101315697,10
COCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1c(Cl)cccc1Cl,101303821,1
COc1ccc(N2/C(=N\C(=O)C(C)(C)C)S[C@H]3CS(=O)(=O)C[C@H]32)c(OC)c1,32506929,8
Cc1cc(C)cc(N2/C(=N\C(=O)CCCC(=O)O)S[C@H]3CS(=O)(=O)C[C@H]32)c1,101309334,1
Cc1cccc(N2/C(=N\C(=O)CCCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@H]32)c1C,101310647,1
CCCCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc(OC)cc1OC,32506943,8
CCC(=O)/N=C1\S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Br)cc1,16741135,11
Cc1ccc(C)c(N2/C(=N\C(=O)CCCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@H]32)c1,101312909,1
Cc1cccc(C)c1N1/C(=N\C(=O)CCCC(=O)O)S[C@@H]2CS(=O)(=O)C[C@@H]21,101309906,1
CCCCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1cc(OC)ccc1OC,32504124,8
CCC(CC)C(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc2c(c1)OCO2,101318034,11
CC[C@@H](C)C(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1cc(OC)ccc1OC,36638578,8
Cc1cc(C)cc(N2/C(=N\C(=O)CCCC(=O)O)S[C@H]3CS(=O)(=O)C[C@@H]32)c1,101309335,1
CC(C)c1ccccc1N1/C(=N\C(=O)CCC(=O)O)S[C@H]2CS(=O)(=O)C[C@H]21,101316578,1
O=C(O)CCCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccccc1Cl,101299099,1
O=C(O)CCCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(Cl)c1,101300891,1
CC(C)c1ccccc1N1/C(=N\C(=O)CCC(=O)O)S[C@@H]2CS(=O)(=O)C[C@@H]21,101316582,1
CC[C@H](C)C(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(OC)cc1OC,32507004,8
CC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Br)cc1F,101061327,11
CCCCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(OC)cc1OC,32506940,8
CC(C)c1ccc(N2/C(=N\C(=O)CCC(=O)O)S[C@H]3CS(=O)(=O)C[C@@H]32)cc1,101302222,1
N#CCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cccc(C(F)(F)F)c1,101311451,10
O=C(/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(Br)c1)C1CC1,101104072,11
CC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Br)cc1F,101061330,11
N#CCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1cccc(C(F)(F)F)c1,101311445,10
COCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1cc(Cl)ccc1Cl,101315913,1
CC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Br)cc1F,101061329,11
COCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Cl)cc1Cl,101308834,1
O=C(O)CCCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cccc(Cl)c1,101300892,1
Cc1cccc(C)c1N1/C(=N\C(=O)CCCC(=O)O)S[C@H]2CS(=O)(=O)C[C@H]21,101309900,1
CC[C@@H](C)C(=O)/N=C1\S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc2c(c1)OCCO2,5267305,11
CC[C@H](C)C(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cc(OC)ccc1OC,32504192,8
CCCCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cc(OC)ccc1OC,32504128,8
COc1ccc(N2/C(=N\C(=O)C3CC3)S[C@H]3CS(=O)(=O)C[C@H]32)cc1Cl,101316299,11
CCCCOc1cccc(N2/C(=N\C(=O)COC)S[C@H]3CS(=O)(=O)C[C@H]32)c1,101310526,1
COc1ccc(N2/C(=N\C(=O)CC(C)C)S[C@H]3CS(=O)(=O)C[C@@H]32)c(OC)c1,5341735,8
O=C(/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Br)cc1)C1CC1,101075778,11
CCCCOc1cccc(N2/C(=N\C(=O)COC)S[C@@H]3CS(=O)(=O)C[C@H]32)c1,101310530,1
COc1ccc(OC)c(N2/C(=N\C(=O)CC(C)C)S[C@@H]3CS(=O)(=O)C[C@H]32)c1,101304577,8
CCCCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccc(OC)cc1OC,32506942,8
O=C(/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cccc(Br)c1)C1CC1,101104075,11
CC[C@@H](C)C(=O)/N=C1\S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc2c(c1)OCCO2,5267300,11
O=C(/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Br)cc1)C1CC1,101075779,11
O=C(/N=C1\S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Cl)cc1)[C@H]1CCCO1,105350032,11
Cc1ccc(C)c(N2/C(=N\C(=O)CCCC(=O)O)S[C@H]3CS(=O)(=O)C[C@H]32)c1,101312903,1
O=C(O)CCCC(=O)/N=C1\S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(Cl)c1,5489342,1
O=C(COc1ccccc1)/N=C1\S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccccc1,95915227,1
CCN(CC)c1ccc(N2/C(=N/C(=O)CC#N)S[C@@H]3CS(=O)(=O)C[C@H]32)cc1,6659764,10
COc1ccc(OC)c(N2/C(=N/C(=O)CC(C)C)S[C@@H]3CS(=O)(=O)C[C@H]32)c1,5377396,8
O=C(COc1ccccc1)/N=C1\S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccccc1,5302799,1
Cc1cc(C)c(N2/C(=N/C(=O)CCCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@@H]32)c(C)c1,6498697,1
O=C(/N=C1\S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Br)cc1)C1CC1,8994067,11
Cc1ccc(Cl)cc1N1/C(=N/C(=O)CCC(=O)O)S[C@@H]2CS(=O)(=O)C[C@@H]21,5516513,1
COCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Cl)c(Cl)c1,101314497,1
CC(C)(C)CC(=O)/N=C1\S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc2c(c1)OCO2,5345036,11
COCC(=O)/N=C1\S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cc(Cl)cc(Cl)c1,5323577,1
CCC(CC)C(=O)/N=C1\S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccc2c(c1)OCCO2,9242781,11
CCC(CC)C(=O)/N=C1\S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc2c(c1)OCCO2,9243812,11
Cc1cc(C)c(N2/C(=N/C(=O)CCCC(=O)O)S[C@H]3CS(=O)(=O)C[C@@H]32)c(C)c1,13115544,1
COCC(=O)/N=C1\S[C@H]2CS(=O)(=O)C[C@@H]2N1c1c(Cl)cccc1Cl,6658849,1
O=C(/N=C1\S[C@H]2CS(=O)(=O)C[C@H]2N1c1cccc(Br)c1)C1CC1,8995186,11
N#CCC(=O)/N=C1\S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(OC(F)(F)F)cc1,9450550,10
COCC(=O)/N=C1\S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cccc(Cl)c1Cl,5322574,1
CCC(CC)C(=O)/N=C1\S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc2c(c1)OCO2,5377355,11
CC(C)(C)CC(=O)/N=C1\S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc2c(c1)OCCO2,8974917,11
O=C(O)CCCC(=O)/N=C1\S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Cl)cc1,5516375,1
CCCCOc1cccc(N2/C(=N/C(=O)CC#N)S[C@H]3CS(=O)(=O)C[C@@H]32)c1,8993491,10
Cc1cc(C)cc(N2/C(=N/C(=O)CCCC(=O)O)S[C@H]3CS(=O)(=O)C[C@@H]32)c1,5489067,1
